atraso,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,clasif_sbs,nivel_educ,vivienda_ALQUILADA,vivienda_FAMILIAR,vivienda_PROPIA
0,32,6396,15.0,0,4500.0,14940.16,60.3,163,0,0,False,True,False
0,29,5301,24.0,0,3224.86,567.63,678.86,180,0,3,False,True,False
23,35,5847,32.40158319378901,12,1800.0,11987.241038228825,3942.86,204,1,3,False,True,False
0,47,4570,32.40158319378901,12,3800.0,1790.97,1943.62,214,0,0,False,False,True
0,29,5360,32.40158319378901,12,3200.0,5889.34,0.0,216,1,3,False,True,False
0,30,3443,32.40158319378901,12,8239.0,11987.241038228825,23303.9,185,0,2,False,True,False
0,36,4170,10.0,12,3150.0,1700.0,1637.81,197,4,3,False,True,False
1,28,6456,9.0,11,2200.0,1107.42,1175.88,209,0,3,False,True,False
1,55,3868,8.0,12,3686.3,8925.0,2764.72,211,2,2,False,True,False
1,26,4113,7.0,12,2278.38,1600.0,5458.23,206,0,3,False,True,False
0,32,4629,9.0,12,3000.0,2107.77,3735.74,230,0,2,False,False,True
1,32,4205,32.40158319378901,12,1000.0,460.0,3951.23,194,0,2,False,True,False
20,26,4721,38.0,12,2166.26,5338.84,0.0,191,1,2,False,False,True
0,24,3809,10.0,10,827.67,2800.0,1215.48,156,0,2,False,True,False
2,56,6762,32.40158319378901,12,2690.0,11987.241038228825,0.0,228,0,2,False,False,True
0,25,4083,11.0,12,2100.0,1500.0,1415.81,189,0,3,False,True,False
0,41,5421,8.0,12,990.0,179.05,637.72,198,0,3,False,True,False
0,48,7492,92.0,0,4000.0,11652.79,4929.23,202,0,2,False,True,False
13,41,4113,32.40158319378901,12,1632.87,11987.241038228825,1543.45,182,0,2,False,True,False
1,32,4300,9.0,12,964.17,2258.74,761.47,178,1,2,False,True,False
0,34,4263,32.40158319378901,12,968.0,11987.241038228825,1241.07,170,0,2,False,True,False
0,29,5544,46.0,2,6814.0,18752.45,0.0,214,0,3,False,False,True
25,24,4721,41.0,12,2200.0,1423.15,552.96,200,2,2,False,True,False
0,24,4113,10.0,9,2100.0,410.12,408.67,176,0,3,False,True,False
0,26,3474,5.0,11,1495.09,11987.241038228825,16688.92,174,0,2,False,True,False
1,31,4325,32.40158319378901,12,1000.0,11987.241038228825,1365.2,194,0,2,False,True,False
0,43,6456,41.0,12,8750.0,5817.84,4955.85,224,0,3,False,False,True
25,32,7551,45.0,0,13000.0,730.92,0.0,199,0,3,False,True,False
0,25,3990,32.40158319378901,12,1424.68,11987.241038228825,6462.92,171,0,2,False,True,False
0,31,3899,13.0,0,2100.0,1430.11,0.0,192,0,2,False,True,False
0,34,7704,8.0,8,1500.0,3754.0,355.82,188,1,3,False,True,False
9,42,6456,25.0,0,8000.0,10769.97,0.0,180,1,3,False,True,False
0,30,4386,7.0,12,2000.0,9065.38,5233.5,200,0,3,False,True,False
9,29,5760,32.40158319378901,12,1107.6,1650.0,3025.91,175,1,2,False,True,False
0,23,3734,32.40158319378901,12,1185.05,11987.241038228825,4336.36,156,0,2,False,True,False
17,47,7551,32.40158319378901,3,3000.0,13988.17,0.0,217,1,3,False,True,False
9,40,4356,17.0,7,900.0,4845.56,0.0,207,0,3,False,True,False
19,29,4615,32.40158319378901,12,2301.9,11987.241038228825,1886.48,212,1,3,False,False,True
0,27,4782,32.40158319378901,12,2097.4,11987.241038228825,0.0,211,0,2,False,False,True
0,31,4083,32.40158319378901,12,908.5,2145.14,4168.6,175,0,2,False,True,False
1,26,4144,32.40158319378901,12,664.37,11987.241038228825,1951.27,188,0,2,False,False,True
2,23,4448,3.0,12,1368.6,1727.25,5501.75,156,1,2,False,True,False
12,36,6090,30.0,12,2100.0,11987.241038228825,9594.57,213,1,2,False,True,False
1,31,4598,32.40158319378901,12,1500.0,11987.241038228825,10229.82,170,0,2,False,True,False
5,48,6059,32.40158319378901,12,1540.0,11987.241038228825,57094.38,201,1,2,False,True,False
0,50,4052,32.40158319378901,12,1182.72,11987.241038228825,1093.67,199,0,2,False,False,True
0,27,6456,8.0,12,2100.0,1717.06,432.86,187,0,3,False,True,False
0,28,3840,19.0,12,2100.0,1540.0,5656.79,205,0,2,False,True,False
0,38,4417,26.0,12,4500.0,866.76,0.0,197,0,3,False,True,False
1,28,4113,32.40158319378901,12,1450.38,3077.03,2007.64,175,3,2,False,True,False
0,43,6548,32.40158319378901,12,1542.03,11987.241038228825,9633.36,197,0,2,False,True,False
0,42,10931,39.0,0,3300.0,19.5,53.01,199,0,3,False,True,False
0,47,4935,32.40158319378901,2,7586.26,11987.241038228825,0.0,199,0,3,False,False,True
1,40,7186,32.40158319378901,12,3290.22,4343.23,1739.58,197,1,2,False,True,False
0,32,3584,14.0,12,2500.0,4942.55,7568.56,200,1,3,False,True,False
2,29,3559,32.40158319378901,11,2800.0,3667.1,1810.3,200,1,3,False,True,False
0,23,3899,10.0,12,2100.0,1100.0,1049.98,181,0,3,False,True,False
0,34,4690,35.0,12,1500.0,1084.9,2382.04,206,0,3,False,True,False
0,24,4478,9.0,12,3000.0,1654.49,704.89,176,1,3,False,True,False
0,26,4539,12.0,12,668.46,1990.0,1397.76,169,3,2,False,True,False
1,26,4011,51.0,12,861.67,1906.63,2272.1,196,1,3,False,False,True
0,35,4319,32.40158319378901,12,834.25,11987.241038228825,3606.77,196,0,2,False,False,True
0,21,3626,15.0,12,850.0,2600.0,5189.55,192,2,3,False,True,False
0,28,3595,71.0,6,3544.79,8400.0,12981.97,194,0,3,False,True,False
0,48,4509,81.0,4,6600.0,5415.88,0.0,175,0,3,False,True,False
0,24,4570,32.40158319378901,12,1084.18,11987.241038228825,4420.64,182,0,2,False,True,False
0,42,4417,13.0,11,2850.0,1433.22,438.09,205,0,3,False,True,False
0,43,3868,32.40158319378901,12,2400.0,12936.95,4107.47,223,1,2,False,True,False
0,49,6456,44.0,3,30000.0,11987.241038228825,0.0,203,0,1,False,False,True
1,28,3650,32.40158319378901,12,1378.3,11987.241038228825,3415.59,172,0,3,False,True,False
2,49,3707,32.40158319378901,12,3152.38,11987.241038228825,3762.38,185,0,2,False,True,False
0,34,3290,32.40158319378901,12,1682.62,11987.241038228825,3513.41,201,0,2,False,True,False
0,43,6059,21.0,12,3070.0,2659.3,3709.71,190,0,2,False,True,False
0,33,4675,32.40158319378901,12,2030.99,700.0,12051.69,177,0,2,False,True,False
1,27,4172,32.40158319378901,12,1032.6,4295.86,127.0,175,0,2,False,True,False
0,21,3626,32.40158319378901,12,2100.0,11987.241038228825,6294.66,190,0,3,False,True,False
9,29,4721,29.0,4,1800.0,6184.6,896.17,188,2,3,False,True,False
2,38,4534,32.40158319378901,12,2200.0,1000.0,2191.17,211,0,0,False,False,True
0,28,4386,3.0,12,3800.0,5404.23,3314.83,219,2,3,False,True,False
0,33,5240,12.0,12,5600.0,36200.0,16382.84,219,2,3,False,False,True
2,23,4904,32.40158319378901,12,800.0,11987.241038228825,2280.88,211,0,2,False,False,True
0,44,6456,32.40158319378901,12,2100.0,11987.241038228825,0.0,168,0,2,False,False,True
0,31,3717,6.0,12,900.0,11987.241038228825,2090.34,194,0,2,False,False,True
0,49,8343,32.40158319378901,0,2000.0,2104.39,1189.17,185,0,3,False,True,False
0,39,3868,32.40158319378901,12,1148.31,11987.241038228825,1279.78,196,0,2,False,False,True
0,29,4629,24.0,12,1604.5,2199.0,0.0,180,0,2,False,True,False
0,24,3991,32.40158319378901,12,1511.16,11987.241038228825,7953.25,151,0,0,False,True,False
2,25,4995,32.40158319378901,12,1266.15,11987.241038228825,4947.87,156,0,2,False,True,False
0,32,4598,32.40158319378901,12,950.0,979.17,3876.3,175,0,2,False,True,False
1,22,4136,32.40158319378901,12,967.18,1840.0,0.0,175,0,2,False,False,True
